                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94906,                0.96838,                  1.276,                0.88821,                0.74385,                0.90579,                0.63036,                 1.1294,                 1.5137,                 1.6273,              0.0011224,              0.0011224,              0.0011224
                     36,                0.93544,                 1.0525,                 1.2899,                0.94919,                0.66667,                0.91069,                0.62354,                 1.0785,                 1.3951,                  1.609,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.9554,                0.95569,                 1.3018,                0.90715,                0.88701,                0.95033,                0.69317,                0.98465,                 1.2362,                 1.4899,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.9286,                0.99648,                 1.2815,                0.95893,                0.81338,                0.93333,                0.66557,                 1.0692,                  1.155,                 1.5591,              0.0010729,              0.0010729,              0.0010729
                     39,                0.90755,                 1.0166,                  1.278,                0.83799,                0.85417,                0.89802,                0.57992,                 1.1873,                 1.3066,                 1.8367,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0044,                 1.0116,                 1.3415,                0.90097,                0.80961,                0.92149,                0.63604,                  1.141,                 1.1656,                 1.7532,              0.0010399,              0.0010399,              0.0010399
                     41,                0.97408,                0.99683,                 1.3266,                0.92686,                0.83333,                0.89625,                0.63192,                 1.1189,                 1.2717,                 1.6789,              0.0010234,              0.0010234,              0.0010234
                     42,                0.95509,                0.90521,                 1.2746,                0.75143,                0.70885,                0.79616,                0.55008,                 1.1812,                 1.4976,                 1.7109,              0.0010069,              0.0010069,              0.0010069
                     43,                0.88072,                0.89279,                 1.2586,                0.58463,                0.69567,                0.70475,                0.52101,                 1.0639,                 1.8404,                 1.5912,             0.00099036,             0.00099036,             0.00099036
                     44,                0.96902,                0.97719,                 1.3149,                0.63512,                0.70833,                0.68715,                0.51848,                 1.0826,                 1.9603,                 1.6296,             0.00097386,             0.00097386,             0.00097386
                     45,                0.86589,                0.85501,                 1.2027,                0.68658,                0.76186,                 0.8136,                0.60395,                0.99485,                 1.4643,                 1.5116,             0.00095736,             0.00095736,             0.00095736
                     46,                 0.9591,                0.92064,                 1.2592,                0.91806,                0.91667,                0.95188,                 0.6877,                0.92372,                0.95794,                 1.4428,             0.00094085,             0.00094085,             0.00094085
                     47,                0.86841,                0.85664,                 1.2403,                0.96577,                 0.9375,                0.95568,                0.75417,                0.81466,                0.92529,                 1.3471,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.9573,                0.92906,                  1.299,                0.96817,                0.95833,                0.96871,                0.75046,                 0.8618,                0.92342,                 1.3746,             0.00090785,             0.00090785,             0.00090785
                     49,                0.94636,                0.89988,                 1.2665,                0.97313,                0.95833,                 0.9734,                0.74324,                0.86959,                0.88289,                 1.3714,             0.00089134,             0.00089134,             0.00089134
                     50,                0.89909,                0.84961,                 1.2358,                0.92593,                0.91743,                0.97221,                0.74901,                0.86096,                 0.8994,                 1.3247,             0.00087484,             0.00087484,             0.00087484
                     51,                0.90339,                0.86164,                 1.2677,                0.94644,                 0.9375,                0.97707,                0.77333,                 0.7963,                0.88731,                 1.2436,             0.00085834,             0.00085834,             0.00085834
                     52,                0.84786,                0.81148,                 1.2188,                0.95299,                0.95833,                0.94615,                0.77216,                0.74843,                0.79916,                 1.2276,             0.00084184,             0.00084184,             0.00084184
                     53,                0.84482,                0.80663,                 1.2221,                0.96299,                0.92536,                0.94448,                0.78387,                0.73994,                0.81341,                 1.2314,             0.00082533,             0.00082533,             0.00082533
                     54,                0.87689,                0.81557,                   1.26,                 0.9118,                 0.9198,                0.93647,                0.77408,                0.76185,                0.87347,                 1.2144,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.8399,                0.79914,                 1.2264,                 0.9342,                0.89583,                0.95392,                0.79189,                0.68839,                 0.7555,                 1.1796,             0.00079233,             0.00079233,             0.00079233
                     56,                0.82251,                0.75832,                 1.1815,                 0.9778,                0.95486,                 0.9684,                0.77594,                0.71484,                0.71063,                 1.2177,             0.00077582,             0.00077582,             0.00077582
                     57,                0.84145,                0.80018,                 1.1956,                0.97338,                0.95352,                0.97206,                0.77876,                0.74236,                 0.7174,                 1.2141,             0.00075932,             0.00075932,             0.00075932
                     58,                0.86277,                0.78515,                 1.2251,                 0.9725,                0.95833,                 0.9658,                0.79847,                0.75461,                0.72402,                 1.2304,             0.00074282,             0.00074282,             0.00074282
                     59,                0.79502,                0.74965,                 1.1791,                0.93129,                0.95833,                0.96372,                0.80437,                0.72471,                0.69443,                 1.2224,             0.00072631,             0.00072631,             0.00072631
                     60,                0.83141,                0.72009,                 1.2241,                0.91014,                0.95833,                0.95778,                0.80752,                 0.6984,                0.73083,                 1.1869,             0.00070981,             0.00070981,             0.00070981
                     61,                0.81434,                0.72404,                 1.1793,                0.94515,                 0.9375,                0.97204,                 0.8026,                0.71551,                0.74501,                 1.1876,             0.00069331,             0.00069331,             0.00069331
                     62,                0.85286,                0.74864,                 1.2042,                0.92841,                0.95256,                0.96724,                0.76367,                0.79745,                0.80711,                 1.2471,              0.0006768,              0.0006768,              0.0006768
                     63,                0.88298,                0.78626,                 1.2574,                0.98653,                0.89583,                0.96461,                0.76882,                0.75712,                0.83208,                 1.2615,              0.0006603,              0.0006603,              0.0006603
                     64,                 0.7639,                0.71925,                 1.1561,                 0.9816,                0.91667,                0.96767,                0.75167,                0.78205,                0.79512,                 1.2583,              0.0006438,              0.0006438,              0.0006438
                     65,                 0.8264,                0.73758,                 1.1509,                0.99148,                0.95833,                 0.9742,                0.78984,                0.72269,                0.72025,                 1.1965,             0.00062729,             0.00062729,             0.00062729
                     66,                0.79584,                0.69769,                 1.1801,                0.97839,                0.95833,                  0.975,                 0.8278,                0.65191,                0.66936,                 1.1423,             0.00061079,             0.00061079,             0.00061079
                     67,                0.72727,                0.66731,                  1.171,                0.96181,                0.95224,                0.97626,                0.84027,                0.64018,                0.67581,                 1.1619,             0.00059429,             0.00059429,             0.00059429
                     68,                0.73071,                0.66521,                 1.1681,                0.96864,                0.95833,                 0.9758,                0.83401,                0.64554,                0.66656,                  1.137,             0.00057778,             0.00057778,             0.00057778
                     69,                0.74359,                0.71844,                 1.1752,                0.96986,                0.95833,                0.97706,                0.86523,                0.61207,                 0.6429,                 1.0949,             0.00056128,             0.00056128,             0.00056128
                     70,                0.66408,                0.63532,                  1.121,                 0.9576,                0.95833,                0.97466,                 0.8502,                0.57372,                0.61714,                 1.0665,             0.00054478,             0.00054478,             0.00054478
                     71,                0.73129,                0.68679,                 1.1233,                0.97509,                0.95833,                0.98084,                0.85988,                0.55911,                 0.6018,                 1.0363,             0.00052827,             0.00052827,             0.00052827
                     72,                0.71486,                0.69084,                 1.1479,                0.95988,                0.94117,                 0.9834,                0.86925,                0.54472,                0.59095,                  1.026,             0.00051177,             0.00051177,             0.00051177
                     73,                0.71767,                0.66918,                 1.1424,                0.96837,                0.91733,                0.98463,                0.86926,                0.54338,                0.58975,                 1.0332,             0.00049527,             0.00049527,             0.00049527
                     74,                0.75682,                0.69154,                 1.1826,                0.93366,                0.95416,                0.98525,                0.85828,                0.54813,                0.57857,                 1.0379,             0.00047876,             0.00047876,             0.00047876
